,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
35,7,14,0,1,0,1,40,2.0,4,1,0,47,0
36,8,20,0,1,2,1,33,4.0,4,1,0,75,0
37,7,31,0,0,2,1,40,5.0,3,0,0,47,0
38,7,0,2,1,0,1,42,5.0,5,1,0,51,0
39,7,20,0,1,2,1,33,5.0,6,1,0,51,1
40,8,6,0,1,0,1,34,3.0,10,0,0,80,0
41,4,11,0,0,0,2,23,4.0,2,1,0,57,0
42,2,11,0,1,2,1,59,4.0,26,1,0,52,0
43,7,11,0,1,0,3,24,2.0,2,0,0,48,0
44,0,11,0,1,0,1,44,5.0,12,0,0,88,0
45,5,8,0,0,2,1,50,5.0,11,0,0,71,0
46,5,4,2,0,0,1,37,4.0,4,0,0,71,0
47,8,7,0,1,2,1,40,3.0,11,0,0,80,0
48,7,12,0,1,2,1,30,3.0,3,1,0,49,0
49,5,11,2,0,2,1,56,3.0,12,0,0,73,0
50,1,11,0,1,2,1,20,4.0,2,1,0,60,0
51,7,17,0,0,2,1,31,3.0,8,0,0,48,0
52,5,6,0,1,2,1,40,3.0,12,1,0,65,0
53,2,14,0,1,0,1,30,1.0,6,0,0,50,0
54,4,14,0,1,0,1,39,3.0,5,1,0,62,0
55,0,24,0,1,0,2,26,2.0,2,0,0,85,0
56,7,24,0,0,0,1,29,3.0,1,0,0,49,0
57,6,14,2,1,2,1,40,3.0,5,1,0,84,0
58,7,7,0,1,0,2,27,4.0,1,1,0,47,0
59,7,10,0,1,0,1,40,4.0,7,0,0,52,0
60,7,28,2,1,0,1,50,4.0,17,1,0,47,1
61,7,21,0,1,2,1,25,3.0,3,0,0,53,0
62,0,14,0,0,0,1,28,4.0,1,1,0,80,0
63,7,0,2,1,2,1,35,4.0,2,1,0,52,0
64,6,18,0,1,0,1,34,5.0,5,0,0,87,0
65,4,4,2,0,2,1,31,3.0,3,1,0,58,0
66,1,14,0,1,0,1,27,4.0,1,1,1,58,1
67,7,14,0,1,2,1,27,4.0,1,0,0,61,1
68,5,1,0,1,0,1,30,4.0,6,1,0,75,0
69,0,24,0,1,0,1,30,3.0,7,1,0,84,1
70,4,14,0,0,0,1,50,5.0,5,1,0,59,0
71,8,14,2,1,0,1,34,5.0,7,1,0,78,1
72,7,11,2,0,2,1,41,1.0,12,0,0,52,0
73,7,7,0,1,2,1,32,4.0,6,0,0,44,0
74,7,31,0,1,0,1,50,3.0,14,0,0,52,0
75,7,11,2,1,2,1,38,4.0,2,1,0,49,1
76,7,19,0,1,2,2,29,1.0,5,0,0,51,0
77,7,23,0,1,2,1,35,4.0,3,1,0,53,0
78,0,11,0,1,0,1,25,3.0,2,1,0,91,0
79,7,14,0,1,2,1,30,3.0,3,0,0,58,1
80,8,11,0,1,1,1,47,3.0,7,0,0,79,0
81,4,28,2,1,2,1,35,2.0,7,0,0,53,0
82,7,11,0,1,2,2,25,3.0,2,0,0,53,0
83,6,14,0,1,0,1,36,4.0,8,0,0,82,0
84,3,31,0,1,0,1,29,5.0,1,0,0,65,1
85,4,2,2,0,2,1,42,5.0,11,1,0,60,1
86,2,12,0,0,2,1,28,2.0,6,0,0,52,0
87,7,11,2,1,2,1,39,1.0,9,0,0,49,0
88,5,31,2,1,2,1,32,5.0,3,1,0,69,1
89,7,24,0,0,0,1,31,3.0,1,0,0,51,0
90,7,11,0,0,2,1,20,3.0,1,0,0,55,0
91,0,3,0,1,0,1,34,3.0,8,0,0,85,0
92,5,11,2,1,2,2,46,4.0,3,1,0,74,0
93,2,11,2,1,0,1,47,3.0,7,0,0,44,0
94,4,11,0,0,0,1,44,4.0,13,0,0,53,0
95,0,5,0,1,2,1,31,4.0,4,1,0,86,0
96,8,18,0,0,2,1,23,3.0,1,0,0,77,0
97,4,11,0,0,2,1,33,3.0,5,0,0,57,0
98,7,24,0,1,0,1,41,3.0,12,1,0,52,0
99,1,11,2,1,0,1,60,5.0,17,0,0,59,0
100,4,6,0,1,0,1,31,5.0,4,1,0,63,1
101,4,18,0,0,0,1,37,3.0,11,0,0,57,0
102,0,31,0,1,2,2,39,3.0,4,1,0,83,0
103,7,31,0,1,0,1,40,5.0,8,1,0,54,0
104,7,20,2,1,2,1,42,5.0,4,0,0,50,0
105,4,4,0,1,0,1,35,4.0,6,1,0,57,1
106,4,4,2,0,2,1,41,4.0,6,1,0,62,0
107,5,11,0,0,0,1,23,3.0,2,0,0,73,0
108,7,7,0,1,2,2,31,3.0,4,0,0,50,0
109,0,14,2,1,0,1,42,2.0,19,0,0,79,0
110,7,14,0,1,0,3,29,4.0,2,0,0,49,0
111,2,4,0,0,0,1,30,4.0,1,1,0,54,0
112,4,11,0,1,2,1,41,4.0,6,1,0,63,0
113,7,31,0,0,0,1,40,3.0,2,1,0,90,1
114,7,11,0,1,1,1,34,5.0,5,0,0,49,0
115,7,28,0,0,0,1,31,4.0,2,0,0,46,0
116,8,11,0,1,0,1,27,5.0,2,0,0,86,1
117,5,13,0,1,2,4,30,3.0,2,0,0,72,0
118,5,15,0,0,0,1,27,4.0,4,1,0,72,1
119,8,6,0,1,0,4,36,4.0,7,0,0,82,0
120,8,11,0,1,2,1,35,4.0,6,0,0,77,0
121,7,17,2,1,0,1,34,5.0,7,1,0,51,1
122,5,27,2,1,2,1,37,5.0,3,0,1,92,1
123,4,14,0,0,2,1,27,3.0,1,1,0,58,0
124,5,11,2,1,2,2,47,3.0,5,1,0,71,0
125,0,32,0,1,0,1,28,5.0,1,1,0,83,0
126,5,19,2,0,0,1,40,5.0,5,0,0,68,0
127,7,19,0,0,0,1,30,5.0,1,0,0,50,0
128,4,0,2,1,0,1,38,5.0,9,1,0,61,0
129,7,17,0,1,0,1,30,3.0,2,0,0,47,0
130,7,2,0,0,2,1,28,5.0,3,0,0,46,0
131,5,14,0,1,2,2,28,5.0,4,1,0,67,0
132,4,21,0,1,2,1,35,4.0,7,0,0,58,0
133,0,14,0,1,0,1,32,3.0,8,0,0,89,1
134,7,18,2,1,2,1,36,5.0,8,0,0,50,0
135,4,31,0,1,2,1,24,3.0,1,1,0,56,0
136,8,6,0,1,0,1,27,3.0,4,1,0,78,0
137,1,20,2,1,0,2,34,3.0,7,0,0,56,0
138,8,5,0,0,0,1,31,4.0,4,1,1,78,0
139,8,19,0,0,2,1,30,4.0,2,0,0,77,0
140,8,21,0,0,0,2,30,3.0,7,1,1,76,0
141,1,15,0,1,2,1,31,5.0,1,1,0,56,0
142,0,17,0,1,0,1,30,5.0,3,1,0,84,0
143,1,14,0,1,2,1,28,3.0,2,0,0,57,0
144,8,11,0,1,0,2,28,3.0,5,0,0,81,0
145,7,6,0,1,0,1,29,3.0,2,0,0,51,0
146,7,14,2,1,2,1,46,3.0,11,1,0,51,0
147,8,21,0,1,2,1,31,5.0,4,1,0,80,0
148,5,29,0,1,2,1,28,1.0,4,0,0,72,0
149,7,28,2,1,0,1,31,4.0,6,0,0,50,0
150,2,31,2,0,0,1,37,3.0,9,0,0,48,0
151,8,29,0,0,0,2,34,5.0,8,0,0,88,1
152,5,11,0,1,2,1,25,5.0,3,1,0,70,1
153,4,14,2,1,2,1,40,4.0,4,1,0,57,0
154,4,4,2,1,0,1,43,3.0,7,1,0,56,1
155,4,4,0,1,0,1,36,1.0,5,0,0,56,0
156,3,21,0,1,2,1,29,3.0,3,0,0,63,0
157,1,4,0,1,2,2,35,3.0,2,0,0,56,0
158,0,17,2,1,0,1,34,5.0,2,0,0,84,0
159,7,7,0,0,2,1,32,4.0,4,1,0,45,0
160,2,28,0,1,0,1,27,3.0,1,1,0,50,0
161,8,18,0,1,2,1,29,3.0,5,0,0,75,0
162,7,29,0,1,2,1,34,1.0,4,0,0,48,0
163,5,11,2,1,2,1,37,5.0,7,1,0,70,0
164,5,14,0,0,0,1,33,3.0,3,1,0,73,0
165,5,11,2,0,0,1,33,5.0,4,1,0,67,0
166,7,7,0,0,0,1,39,1.0,8,0,0,45,0
167,8,15,2,1,0,1,34,4.0,7,0,0,82,0
168,8,14,0,1,0,2,32,4.0,6,0,0,84,0
169,7,31,2,1,0,1,34,4.0,6,0,0,53,0
170,1,3,0,1,0,1,29,5.0,6,1,0,61,0
171,7,11,0,1,2,2,28,1.0,2,0,0,50,0
172,8,31,0,0,0,1,28,2.0,5,0,0,75,0
173,5,11,2,0,0,2,35,3.0,9,0,0,70,0
174,8,11,0,0,0,2,40,3.0,3,0,0,86,0
175,7,11,0,0,0,2,27,2.0,4,0,0,54,0
176,5,14,0,0,0,3,26,3.0,3,1,0,70,0
177,4,11,0,1,2,1,43,2.0,12,0,0,57,0
178,1,18,0,1,0,1,23,5.0,1,0,0,61,0
179,0,17,0,1,2,1,29,5.0,6,1,0,84,0
180,7,5,0,1,2,1,43,3.0,15,0,0,51,0
181,7,11,0,1,2,3,27,4.0,4,0,0,49,0
182,5,19,0,1,2,1,26,4.0,4,1,0,70,0
183,5,4,0,0,0,1,31,5.0,5,1,0,72,0
184,4,31,0,1,0,1,40,4.0,11,0,0,58,0
185,4,6,0,0,0,2,39,5.0,12,1,0,55,0
186,4,11,0,0,0,2,30,3.0,6,0,0,57,0
187,8,11,2,1,0,1,47,4.0,4,1,0,77,0
188,7,8,0,1,0,1,34,4.0,7,1,0,48,1
189,4,11,2,0,0,1,33,4.0,9,0,0,64,0
190,7,15,2,1,0,1,41,5.0,7,0,0,51,0
191,8,31,0,1,0,1,29,1.0,4,0,0,80,0
192,0,24,0,0,0,1,32,3.0,4,0,0,86,0
193,5,31,2,0,0,1,47,5.0,9,0,0,68,0
194,4,19,0,1,0,1,35,4.0,3,0,0,65,0
195,8,14,0,1,0,1,27,4.0,2,0,0,75,0
196,0,25,0,1,0,1,29,1.0,3,0,0,81,0
197,7,12,0,1,2,2,36,3.0,9,0,0,49,0
198,7,6,0,1,0,2,35,1.0,8,0,0,39,0
199,5,11,0,0,2,2,34,3.0,2,0,0,70,0
200,7,15,2,0,2,1,34,4.0,5,1,1,94,1
201,4,11,2,1,2,1,39,3.0,2,1,0,60,0
202,7,17,0,1,0,1,26,5.0,2,1,0,51,0
203,4,24,0,0,2,1,30,5.0,4,0,0,56,0
204,4,7,2,0,0,1,31,4.0,2,0,0,62,0
205,2,11,2,1,2,1,44,5.0,6,0,0,48,0
206,7,0,0,1,0,1,38,3.0,4,1,0,49,0
207,8,18,0,1,0,1,40,1.0,3,0,0,78,0
208,3,11,2,1,2,1,50,5.0,6,0,1,58,0
209,5,10,2,1,0,1,44,3.0,12,0,0,70,0
210,5,11,1,0,0,1,23,1.0,2,0,0,69,0
211,7,31,2,0,2,1,36,1.0,2,0,0,53,0
212,0,19,0,1,2,1,25,1.0,4,0,0,80,0
213,4,20,0,1,2,1,34,5.0,4,1,0,58,0
214,0,28,0,1,2,1,28,5.0,1,0,0,85,0
215,0,0,0,1,0,2,30,5.0,6,1,0,81,0
216,5,3,0,1,2,1,35,1.0,8,0,0,67,0
217,0,30,0,1,2,1,33,4.0,8,0,0,86,0
218,0,4,2,1,0,1,30,3.0,4,1,0,80,0
219,0,18,0,1,0,2,27,5.0,3,1,0,85,0
220,5,11,0,1,0,4,29,3.0,1,0,0,68,0
221,4,11,0,1,2,1,43,3.0,3,0,0,58,0
222,0,14,0,1,0,2,28,3.0,5,1,0,86,0
223,5,8,0,1,0,1,31,5.0,3,1,0,68,0
224,4,11,0,0,0,1,43,4.0,12,0,0,58,0
225,4,28,0,0,0,1,35,5.0,9,1,0,60,0
226,7,29,0,1,0,2,35,3.0,9,0,0,49,0
227,4,11,2,1,0,1,50,3.0,8,1,0,59,0
228,2,8,0,0,0,1,26,4.0,3,0,0,50,0
229,7,19,0,1,2,1,32,3.0,5,1,0,52,0
230,4,4,2,0,0,1,38,5.0,2,1,1,93,1
231,7,18,0,1,0,1,22,4.0,2,0,0,51,0
232,2,12,0,1,0,1,28,3.0,1,1,0,52,0
233,5,5,0,0,2,1,37,3.0,9,0,0,69,0
234,0,11,0,1,2,2,54,3.0,9,1,0,86,0
235,7,2,0,1,2,1,36,3.0,8,0,0,51,0
236,8,30,0,1,0,1,35,3.0,8,0,0,78,0
237,0,21,0,1,0,1,39,3.0,4,1,0,85,0
238,4,3,0,0,2,1,31,5.0,4,1,0,63,0
239,4,24,0,1,0,2,38,3.0,7,1,1,60,0
240,7,14,0,1,2,1,28,1.0,2,0,0,48,0
241,7,31,0,1,2,3,26,2.0,3,0,0,52,0
242,7,18,0,1,2,1,29,3.0,1,0,0,54,0
243,0,12,0,1,2,1,30,3.0,4,0,0,84,0
244,4,14,0,1,2,2,37,2.0,4,1,0,57,1
245,6,11,0,1,0,1,25,4.0,1,1,0,76,0
246,8,14,0,1,1,1,26,4.0,2,0,0,82,0
247,8,31,0,1,0,1,31,4.0,4,0,0,78,0
248,8,5,0,0,0,1,38,5.0,7,1,0,82,0
249,7,4,0,1,0,1,39,4.0,9,0,0,49,0
250,7,28,0,1,0,1,30,5.0,4,0,1,50,0
251,5,6,2,0,0,1,34,5.0,8,1,0,67,0
252,5,15,2,0,0,1,33,3.0,5,1,0,72,0
253,8,11,0,0,0,1,29,5.0,3,1,0,78,0
254,4,11,0,1,2,1,28,4.0,2,1,0,61,0
255,1,14,0,1,2,1,24,4.0,1,0,0,56,0
256,0,14,0,1,0,2,26,4.0,2,1,0,87,0
257,3,14,0,1,2,1,34,5.0,4,0,0,64,0
258,7,19,0,1,2,1,35,3.0,7,0,0,46,0
259,8,4,2,1,0,1,43,3.0,14,0,0,79,0
260,7,6,0,1,0,1,34,1.0,8,0,0,39,0
261,8,31,2,0,0,2,38,3.0,10,0,0,88,0
262,4,31,0,0,0,1,34,1.0,5,0,0,54,0
263,4,14,0,1,2,1,41,4.0,4,0,0,63,0
264,1,31,0,1,2,2,29,1.0,4,0,0,61,0
265,4,11,0,1,0,1,33,4.0,3,0,0,61,0
266,7,11,2,0,0,1,41,4.0,5,1,0,48,0
267,4,11,2,1,0,3,38,3.0,11,0,0,57,0
268,5,11,2,0,0,2,54,4.0,23,0,0,66,0
269,7,4,2,0,2,2,34,2.0,8,0,0,49,0
270,6,11,0,1,0,2,26,5.0,3,1,0,87,0
271,4,31,0,0,2,1,35,5.0,3,0,0,59,0
272,3,11,1,1,0,1,28,3.0,1,0,0,62,0
273,4,26,2,1,0,1,36,3.0,4,0,0,60,0
274,8,29,0,1,0,1,45,3.0,15,0,0,87,0
275,5,31,2,1,0,1,38,4.0,7,0,0,66,0
276,7,19,0,0,0,1,26,2.0,4,0,0,47,0
277,0,19,0,1,2,1,31,3.0,4,0,0,85,0
278,0,27,0,1,2,1,32,3.0,7,0,0,87,0
279,0,30,0,1,2,1,29,4.0,4,0,0,78,0
280,7,11,0,0,0,1,40,3.0,12,0,0,50,0
281,8,11,0,1,1,2,29,4.0,6,0,0,75,0
282,0,20,0,1,0,2,31,5.0,7,1,0,87,0
283,1,7,0,1,0,1,32,5.0,6,1,0,58,0
284,4,8,0,1,0,1,42,5.0,11,0,0,67,0
285,5,6,0,0,2,1,30,5.0,3,1,0,65,0
286,5,7,0,0,0,1,24,3.0,2,1,0,70,0
287,7,23,0,1,2,1,35,3.0,7,0,0,56,0
288,8,29,0,0,2,2,32,1.0,3,0,0,80,0
289,2,11,0,0,2,1,22,3.0,2,0,0,47,0
290,7,11,0,1,2,2,44,5.0,14,0,0,48,0
291,4,7,0,1,0,2,39,3.0,9,0,0,58,0
292,8,31,0,0,0,1,46,4.0,17,0,0,85,0
293,8,6,0,1,0,1,29,2.0,5,0,0,77,0
294,1,31,0,1,0,1,26,1.0,3,0,0,59,0
295,4,15,0,1,0,1,35,4.0,5,0,0,61,0
296,5,11,0,0,0,1,29,4.0,2,1,0,95,1
297,8,4,0,1,2,1,30,2.0,9,0,0,79,0
298,7,31,0,1,0,1,45,4.0,5,0,0,50,0
299,7,6,0,0,0,1,30,1.0,6,0,0,47,0
300,1,25,0,1,2,1,28,2.0,4,0,0,59,0
301,8,11,2,1,2,1,46,5.0,10,1,0,76,0
302,5,31,0,1,2,1,27,2.0,2,0,0,69,0
303,7,2,0,1,2,1,34,2.0,5,0,0,47,0
304,0,10,0,1,2,2,32,5.0,3,1,0,86,0
305,4,14,0,0,0,1,35,5.0,10,0,0,63,0
306,5,19,0,1,0,1,36,4.0,3,1,0,66,0
307,5,11,2,0,0,1,58,1.0,13,0,0,70,0
308,1,24,0,1,0,1,29,4.0,4,0,0,57,0
309,5,11,0,0,1,1,33,3.0,3,1,0,67,0
310,4,7,0,0,0,1,32,5.0,6,0,0,62,0
311,3,14,1,1,0,1,25,5.0,2,1,0,59,0
312,5,4,0,1,0,4,41,2.0,9,0,0,68,0
313,5,3,0,0,0,1,25,1.0,1,1,0,69,0
314,0,11,2,1,0,1,50,1.0,7,0,1,79,0
315,7,18,0,1,0,1,30,1.0,7,0,0,53,0
316,8,16,0,1,2,1,28,5.0,1,0,0,81,0
317,0,12,2,1,0,1,40,5.0,5,0,1,83,1
318,1,11,1,0,0,1,26,3.0,2,0,0,61,0
319,8,4,0,1,0,1,35,5.0,8,1,0,81,0
320,7,31,2,1,0,1,37,3.0,7,1,0,52,0
321,4,14,2,1,0,1,34,3.0,3,0,0,75,1
322,4,32,0,1,2,1,25,3.0,2,0,0,57,0
323,7,11,0,1,0,1,22,5.0,2,0,0,62,1
324,5,11,0,0,0,2,26,5.0,2,1,0,68,1
325,8,11,0,0,0,1,31,4.0,7,1,0,80,0
326,1,11,0,1,2,4,31,5.0,3,1,0,60,0
327,0,17,0,1,2,1,32,3.0,6,1,0,86,0
328,7,10,0,1,2,1,36,5.0,8,0,0,48,0
329,8,11,0,0,2,1,57,3.0,19,0,0,81,0
330,7,11,0,0,2,1,42,4.0,9,0,0,51,0
331,7,12,0,1,0,1,28,3.0,3,0,0,48,0
332,0,3,0,1,2,2,33,4.0,3,1,0,86,0
333,0,11,0,1,2,1,41,3.0,3,0,0,86,0
334,4,11,1,1,0,2,26,5.0,1,0,0,61,0
335,5,3,0,0,0,1,32,5.0,5,0,1,84,1
336,4,11,2,1,0,1,48,3.0,8,0,0,57,0
337,4,18,2,1,0,1,41,3.0,7,0,0,58,0
338,8,11,2,1,0,1,31,5.0,4,1,0,82,0
339,7,18,0,1,0,1,37,4.0,5,0,0,54,0
340,0,21,0,1,0,1,30,1.0,4,0,0,84,0
341,1,11,1,1,0,1,26,5.0,2,1,0,60,0
342,7,4,0,1,2,1,44,5.0,11,0,0,42,0
343,4,31,0,0,2,1,44,3.0,10,0,0,60,0
344,6,14,2,1,0,1,30,4.0,2,1,0,96,1
345,4,14,1,1,0,1,24,3.0,2,0,0,59,0
346,7,19,0,1,0,1,40,1.0,10,0,0,49,0
347,8,2,2,1,0,1,32,3.0,5,0,0,80,0
348,7,11,0,1,2,1,40,5.0,7,0,0,53,0
349,8,31,1,0,0,2,24,4.0,3,1,0,78,0
350,7,18,0,1,0,1,45,4.0,15,0,0,64,1
351,7,11,0,0,0,1,34,5.0,5,0,0,60,1
352,4,11,0,0,0,1,58,4.0,18,1,0,60,0
353,8,16,0,1,2,1,35,3.0,7,0,0,82,0
354,7,7,0,1,0,1,24,4.0,2,0,0,51,0
355,7,15,0,1,0,1,35,2.0,8,0,0,48,0
356,8,15,0,1,2,1,31,1.0,2,0,0,81,0
357,4,21,0,1,0,1,33,3.0,5,0,0,60,0
358,2,11,2,0,2,1,44,3.0,14,0,0,47,0
359,7,20,0,1,0,1,24,2.0,2,1,0,52,1
360,5,11,0,1,0,2,34,2.0,10,0,0,69,0
361,7,14,0,1,2,1,37,5.0,2,0,0,54,0
362,4,18,0,1,0,2,31,3.0,4,0,0,63,0
363,5,10,0,1,0,1,32,3.0,8,0,0,69,0
364,4,11,0,0,0,1,33,5.0,7,1,0,57,0
365,4,11,0,0,2,1,53,3.0,11,0,0,57,0
366,4,14,0,1,2,2,37,5.0,4,1,0,57,0
367,7,6,0,1,2,1,30,2.0,5,0,0,49,0
368,0,6,0,1,2,1,35,5.0,3,1,0,81,0
369,8,2,0,1,2,1,32,3.0,4,0,0,80,0
370,4,6,0,1,2,1,45,3.0,9,0,0,61,0
371,5,4,0,1,0,1,29,3.0,1,0,0,69,0
372,7,28,0,1,2,2,31,3.0,4,0,0,53,0
373,8,6,0,1,2,2,34,3.0,8,0,0,80,0
374,0,14,0,0,0,1,24,5.0,1,1,0,86,0
375,4,22,2,0,0,1,31,5.0,7,1,0,59,0
376,7,1,2,0,0,1,37,3.0,6,1,0,47,0
377,7,31,2,1,0,1,42,3.0,12,0,0,48,0
378,5,28,2,1,0,1,40,3.0,6,0,0,72,0
379,4,11,0,1,2,1,37,5.0,5,1,0,64,0
380,4,14,0,1,0,1,50,3.0,8,0,0,57,0
381,4,13,0,1,0,1,28,3.0,1,0,0,61,0
382,2,11,2,0,1,1,57,3.0,13,0,0,53,0
383,7,20,2,1,0,2,42,2.0,10,0,0,46,0
384,4,11,2,1,2,1,34,3.0,8,0,0,61,0
385,4,11,0,0,2,1,34,5.0,8,1,0,54,0
386,4,4,0,1,0,1,29,4.0,1,0,0,62,0
387,4,28,2,0,1,1,32,4.0,7,1,0,59,0
388,4,31,0,0,2,1,27,5.0,2,0,0,61,0
389,0,14,0,1,0,3,30,3.0,1,1,0,83,0
390,8,26,2,1,0,1,46,3.0,17,0,0,83,0
391,7,0,2,1,0,1,37,3.0,10,1,0,49,1
392,7,11,0,0,2,1,48,4.0,13,0,0,52,0
393,8,11,0,1,0,1,40,5.0,12,1,0,84,0
394,8,12,0,1,0,1,32,3.0,6,0,0,73,0
395,7,12,0,1,0,1,33,1.0,7,0,0,48,0
396,5,15,0,0,0,1,35,3.0,6,0,0,66,0
397,7,30,2,1,2,1,23,3.0,2,0,0,51,0
398,0,6,2,1,0,1,32,3.0,4,0,0,86,0
399,4,11,0,1,2,4,31,3.0,6,0,0,59,0
400,4,18,0,0,0,1,40,4.0,13,0,0,60,0
401,5,11,2,1,0,1,43,2.0,7,0,0,70,0
402,4,25,2,1,0,1,38,3.0,6,0,0,60,0
403,7,31,0,1,0,1,36,5.0,8,0,0,49,0
404,5,31,2,1,0,1,49,5.0,20,1,0,65,0
405,7,14,0,0,2,1,32,1.0,4,0,0,50,0
406,0,11,0,1,0,2,26,3.0,2,0,0,91,0
407,0,31,0,1,2,1,55,3.0,18,0,0,87,0
408,2,14,2,0,0,1,35,3.0,5,0,0,50,0
409,4,33,2,0,0,1,36,4.0,6,1,0,59,0
410,7,23,0,1,0,1,29,5.0,4,1,0,45,0
411,5,28,0,1,0,1,46,3.0,19,1,0,72,0
412,6,19,0,1,2,2,30,3.0,4,0,0,84,0
413,7,11,0,1,0,1,51,5.0,19,0,0,40,0
414,7,21,2,1,0,1,37,3.0,7,0,0,54,0
415,0,25,0,1,0,1,27,3.0,2,0,0,88,0
416,7,18,0,1,0,1,43,1.0,4,0,0,49,0
417,2,25,0,0,0,1,31,3.0,7,0,0,51,0
418,4,31,2,0,2,2,38,4.0,9,1,0,65,0
419,7,11,2,0,0,1,43,1.0,10,0,0,45,0
420,8,31,0,1,2,3,29,3.0,4,0,0,81,0
421,8,14,2,0,2,1,30,3.0,2,0,0,79,0
422,2,11,0,0,0,1,49,5.0,22,1,0,50,0
423,0,31,2,1,0,1,49,4.0,5,0,0,90,0
424,7,31,2,1,2,1,36,2.0,5,0,0,48,0
425,5,1,2,1,2,1,33,1.0,3,0,0,71,0
426,7,14,2,1,0,3,52,3.0,25,0,0,49,0
427,7,25,0,0,0,1,29,3.0,1,0,0,53,0
428,4,31,0,1,0,1,37,3.0,11,0,0,56,0
429,1,14,1,1,0,1,25,3.0,3,0,0,61,0
430,2,11,1,1,2,1,24,4.0,1,1,0,52,0
431,8,31,2,0,1,1,37,4.0,13,0,0,79,0
432,4,5,0,1,0,1,35,5.0,10,1,0,59,1
433,8,4,0,0,0,1,33,3.0,4,1,0,76,1
434,5,11,0,0,2,1,33,5.0,9,1,0,71,0
435,8,11,0,0,0,1,59,3.0,28,0,0,78,0
436,0,11,0,1,2,1,29,2.0,1,0,0,88,0
437,4,11,0,0,0,1,38,2.0,8,0,0,59,0
438,4,11,0,1,2,1,48,4.0,13,0,0,57,0
439,3,2,0,1,0,1,31,3.0,1,1,0,62,0
440,8,29,2,0,2,1,32,1.0,5,0,0,77,0
441,5,14,0,1,0,3,24,3.0,2,0,0,63,0
442,8,31,2,1,2,2,37,5.0,5,1,0,77,0
443,7,31,0,0,2,1,32,5.0,8,1,0,46,1
444,7,28,0,1,0,1,31,3.0,2,0,0,48,0
445,4,11,0,1,2,2,45,3.0,5,1,1,61,0
446,7,11,0,1,0,1,57,5.0,6,0,0,45,0
447,4,6,2,1,0,2,39,2.0,8,0,0,59,0
448,5,11,2,1,2,1,42,1.0,4,0,0,70,0
449,4,31,0,0,0,1,45,3.0,4,0,1,65,1
450,4,23,2,1,2,1,41,3.0,3,1,0,61,0
451,8,19,2,0,2,1,41,1.0,11,0,0,74,0
452,7,16,2,1,2,1,34,1.0,7,0,0,50,0
453,7,24,0,1,2,1,47,5.0,18,0,0,52,0
454,7,17,2,1,2,1,33,5.0,7,1,0,51,0
455,4,14,2,0,2,1,48,3.0,15,0,0,69,1
456,4,6,0,1,0,1,34,4.0,3,0,0,60,0
457,7,0,2,1,0,1,35,5.0,4,1,0,47,0
458,0,0,2,1,2,1,35,5.0,4,1,0,84,0
459,8,6,0,0,2,2,26,3.0,2,0,0,79,0
460,7,5,2,1,2,1,45,3.0,17,0,0,49,0
